event_sub_title,market_subtitle,market_result
"On Oct 31, 2024",81° or below,no
"On Oct 31, 2024",82° to 83°,no
"On Oct 31, 2024",84° to 85°,no
"On Oct 31, 2024",86° to 87°,yes
"On Oct 31, 2024",88° to 89°,no
"On Oct 31, 2024",90° or above,no
"On Nov 1, 2024",80° or below,yes
"On Nov 1, 2024",81° to 82°,no
"On Nov 1, 2024",83° to 84°,no
"On Nov 1, 2024",85° to 86°,no
"On Nov 1, 2024",87° to 88°,no
"On Nov 1, 2024",89° or above,no
"On Nov 2, 2024",79° or below,no
"On Nov 2, 2024",80° to 81°,no
"On Nov 2, 2024",82° to 83°,yes
"On Nov 2, 2024",84° to 85°,no
"On Nov 2, 2024",86° to 87°,no
"On Nov 2, 2024",88° or above,no
"On Nov 3, 2024",83° or below,no
"On Nov 3, 2024",84° to 85°,no
"On Nov 3, 2024",86° to 87°,no
"On Nov 3, 2024",88° to 89°,yes
"On Nov 3, 2024",90° to 91°,no
"On Nov 3, 2024",92° or above,no
"On Nov 4, 2024",79° or below,no
"On Nov 4, 2024",80° to 81°,no
"On Nov 4, 2024",82° to 83°,no
"On Nov 4, 2024",84° to 85°,no
"On Nov 4, 2024",86° to 87°,no
"On Nov 4, 2024",88° or above,yes
"On Nov 5, 2024",68° or below,no
"On Nov 5, 2024",69° to 70°,no
"On Nov 5, 2024",71° to 72°,no
"On Nov 5, 2024",73° to 74°,yes
"On Nov 5, 2024",75° to 76°,no
"On Nov 5, 2024",77° or above,no
"On Nov 6, 2024",73° or below,no
"On Nov 6, 2024",74° to 75°,no
"On Nov 6, 2024",76° to 77°,no
"On Nov 6, 2024",78° to 79°,no
"On Nov 6, 2024",80° to 81°,yes
"On Nov 6, 2024",82° or above,no
"On Nov 7, 2024",75° or below,no
"On Nov 7, 2024",76° to 77°,no
"On Nov 7, 2024",78° to 79°,no
"On Nov 7, 2024",80° to 81°,no
"On Nov 7, 2024",82° to 83°,no
"On Nov 7, 2024",84° or above,yes
"On Nov 8, 2024",76° or below,no
"On Nov 8, 2024",77° to 78°,no
"On Nov 8, 2024",79° to 80°,no
"On Nov 8, 2024",81° to 82°,no
"On Nov 8, 2024",83° to 84°,no
"On Nov 8, 2024",85° or above,yes
"On Nov 9, 2024",70° or below,no
"On Nov 9, 2024",71° to 72°,no
"On Nov 9, 2024",73° to 74°,no
"On Nov 9, 2024",75° to 76°,no
"On Nov 9, 2024",77° to 78°,no
"On Nov 9, 2024",79° or above,yes
"On Nov 10, 2024",77° or below,no
"On Nov 10, 2024",78° to 79°,no
"On Nov 10, 2024",80° to 81°,no
"On Nov 10, 2024",82° to 83°,no
"On Nov 10, 2024",84° to 85°,no
"On Nov 10, 2024",86° or above,yes
"On Nov 11, 2024",76° or below,no
"On Nov 11, 2024",77° to 78°,no
"On Nov 11, 2024",79° to 80°,no
"On Nov 11, 2024",81° to 82°,no
"On Nov 11, 2024",83° to 84°,no
"On Nov 11, 2024",85° or above,yes
"On Nov 12, 2024",79° or below,no
"On Nov 12, 2024",80° to 81°,no
"On Nov 12, 2024",82° to 83°,yes
"On Nov 12, 2024",84° to 85°,no
"On Nov 12, 2024",86° to 87°,no
"On Nov 12, 2024",88° or above,no
"On Nov 13, 2024",80° or below,no
"On Nov 13, 2024",81° to 82°,no
"On Nov 13, 2024",83° to 84°,no
"On Nov 13, 2024",85° to 86°,no
"On Nov 13, 2024",87° to 88°,yes
"On Nov 13, 2024",89° or above,no
"On Nov 14, 2024",71° or below,no
"On Nov 14, 2024",72° to 73°,no
"On Nov 14, 2024",74° to 75°,no
"On Nov 14, 2024",76° to 77°,yes
"On Nov 14, 2024",78° to 79°,no
"On Nov 14, 2024",80° or above,no
"On Nov 15, 2024",72° or below,no
"On Nov 15, 2024",73° to 74°,no
"On Nov 15, 2024",75° to 76°,no
"On Nov 15, 2024",77° to 78°,yes
"On Nov 15, 2024",79° to 80°,no
"On Nov 15, 2024",81° or above,no
"On Nov 16, 2024",75° or below,no
"On Nov 16, 2024",76° to 77°,no
"On Nov 16, 2024",78° to 79°,no
"On Nov 16, 2024",80° to 81°,no
"On Nov 16, 2024",82° to 83°,yes
"On Nov 16, 2024",84° or above,no
"On Nov 17, 2024",79° or below,no
"On Nov 17, 2024",80° to 81°,no
"On Nov 17, 2024",82° to 83°,no
"On Nov 17, 2024",84° to 85°,no
"On Nov 17, 2024",86° to 87°,yes
"On Nov 17, 2024",88° or above,no
"On Nov 18, 2024",74° or below,no
"On Nov 18, 2024",75° to 76°,no
"On Nov 18, 2024",77° to 78°,no
"On Nov 18, 2024",79° to 80°,yes
"On Nov 18, 2024",81° to 82°,no
"On Nov 18, 2024",83° or above,no
"On Nov 19, 2024",76° or below,no
"On Nov 19, 2024",77° to 78°,no
"On Nov 19, 2024",79° to 80°,no
"On Nov 19, 2024",81° to 82°,no
"On Nov 19, 2024",83° to 84°,no
"On Nov 19, 2024",85° or above,yes
"On Nov 20, 2024",64° or below,no
"On Nov 20, 2024",65° to 66°,no
"On Nov 20, 2024",67° to 68°,no
"On Nov 20, 2024",69° to 70°,yes
"On Nov 20, 2024",71° to 72°,no
"On Nov 20, 2024",73° or above,no
"On Nov 21, 2024",68° or below,no
"On Nov 21, 2024",69° to 70°,no
"On Nov 21, 2024",71° to 72°,no
"On Nov 21, 2024",73° to 74°,yes
"On Nov 21, 2024",75° to 76°,no
"On Nov 21, 2024",77° or above,no
"On Nov 22, 2024",69° or below,no
"On Nov 22, 2024",70° to 71°,no
"On Nov 22, 2024",72° to 73°,no
"On Nov 22, 2024",74° to 75°,no
"On Nov 22, 2024",76° to 77°,no
"On Nov 22, 2024",78° or above,yes
"On Nov 23, 2024",73° or below,no
"On Nov 23, 2024",74° to 75°,no
"On Nov 23, 2024",76° to 77°,no
"On Nov 23, 2024",78° to 79°,yes
"On Nov 23, 2024",80° to 81°,no
"On Nov 23, 2024",82° or above,no
"On Nov 24, 2024",78° or below,no
"On Nov 24, 2024",79° to 80°,no
"On Nov 24, 2024",81° to 82°,no
"On Nov 24, 2024",83° to 84°,yes
"On Nov 24, 2024",85° to 86°,no
"On Nov 24, 2024",87° or above,no
"On Nov 25, 2024",80° or below,no
"On Nov 25, 2024",81° to 82°,no
"On Nov 25, 2024",83° to 84°,no
"On Nov 25, 2024",85° to 86°,yes
"On Nov 25, 2024",87° to 88°,no
"On Nov 25, 2024",89° or above,no
"On Nov 26, 2024",64° or below,no
"On Nov 26, 2024",65° to 66°,yes
"On Nov 26, 2024",67° to 68°,no
"On Nov 26, 2024",69° to 70°,no
"On Nov 26, 2024",71° to 72°,no
"On Nov 26, 2024",73° or above,no
"On Nov 27, 2024",77° or below,no
"On Nov 27, 2024",78° to 79°,no
"On Nov 27, 2024",80° to 81°,yes
"On Nov 27, 2024",82° to 83°,no
"On Nov 27, 2024",84° to 85°,no
"On Nov 27, 2024",86° or above,no
"On Nov 28, 2024",57° or below,no
"On Nov 28, 2024",58° to 59°,no
"On Nov 28, 2024",60° to 61°,no
"On Nov 28, 2024",62° to 63°,yes
"On Nov 28, 2024",64° to 65°,no
"On Nov 28, 2024",66° or above,no
"On Nov 29, 2024",57° or below,no
"On Nov 29, 2024",58° to 59°,no
"On Nov 29, 2024",60° to 61°,yes
"On Nov 29, 2024",62° to 63°,no
"On Nov 29, 2024",64° to 65°,no
"On Nov 29, 2024",66° or above,no
"On Nov 30, 2024",60° or below,no
"On Nov 30, 2024",61° to 62°,no
"On Nov 30, 2024",63° to 64°,no
"On Nov 30, 2024",65° to 66°,yes
"On Nov 30, 2024",67° to 68°,no
"On Nov 30, 2024",69° or above,no
"On Dec 1, 2024",63° or below,no
"On Dec 1, 2024",64° to 65°,no
"On Dec 1, 2024",66° to 67°,no
"On Dec 1, 2024",68° to 69°,no
"On Dec 1, 2024",70° to 71°,yes
"On Dec 1, 2024",72° or above,no
"On Dec 2, 2024",63° or below,no
"On Dec 2, 2024",64° to 65°,no
"On Dec 2, 2024",66° to 67°,no
"On Dec 2, 2024",68° to 69°,yes
"On Dec 2, 2024",70° to 71°,no
"On Dec 2, 2024",72° or above,no
"On Dec 3, 2024",60° or below,no
"On Dec 3, 2024",61° to 62°,no
"On Dec 3, 2024",63° to 64°,no
"On Dec 3, 2024",65° to 66°,yes
"On Dec 3, 2024",67° to 68°,no
"On Dec 3, 2024",69° or above,no
"On Dec 4, 2024",59° or below,yes
"On Dec 4, 2024",60° to 61°,no
"On Dec 4, 2024",62° to 63°,no
"On Dec 4, 2024",64° to 65°,no
"On Dec 4, 2024",66° to 67°,no
"On Dec 4, 2024",68° or above,no
"On Dec 5, 2024",60° or below,no
"On Dec 5, 2024",61° to 62°,yes
"On Dec 5, 2024",63° to 64°,no
"On Dec 5, 2024",65° to 66°,no
"On Dec 5, 2024",67° to 68°,no
"On Dec 5, 2024",69° or above,no
"On Dec 6, 2024",48° or below,no
"On Dec 6, 2024",49° to 50°,no
"On Dec 6, 2024",51° to 52°,no
"On Dec 6, 2024",53° to 54°,yes
"On Dec 6, 2024",55° to 56°,no
"On Dec 6, 2024",57° or above,no
"On Dec 7, 2024",46° or below,no
"On Dec 7, 2024",47° to 48°,yes
"On Dec 7, 2024",49° to 50°,no
"On Dec 7, 2024",51° to 52°,no
"On Dec 7, 2024",53° to 54°,no
"On Dec 7, 2024",55° or above,no
"On Dec 8, 2024",60° or below,no
"On Dec 8, 2024",61° to 62°,yes
"On Dec 8, 2024",63° to 64°,no
"On Dec 8, 2024",65° to 66°,no
"On Dec 8, 2024",67° to 68°,no
"On Dec 8, 2024",69° or above,no
"On Dec 9, 2024",77° or below,no
"On Dec 9, 2024",78° to 79°,no
"On Dec 9, 2024",80° to 81°,no
"On Dec 9, 2024",82° to 83°,no
"On Dec 9, 2024",84° to 85°,yes
"On Dec 9, 2024",86° or above,no
"On Dec 10, 2024",55° or below,no
"On Dec 10, 2024",56° to 57°,no
"On Dec 10, 2024",58° to 59°,no
"On Dec 10, 2024",60° to 61°,no
"On Dec 10, 2024",62° to 63°,yes
"On Dec 10, 2024",64° or above,no
"On Dec 11, 2024",58° or below,no
"On Dec 11, 2024",59° to 60°,no
"On Dec 11, 2024",61° to 62°,no
"On Dec 11, 2024",63° to 64°,yes
"On Dec 11, 2024",65° to 66°,no
"On Dec 11, 2024",67° or above,no
"On Dec 12, 2024",61° or below,no
"On Dec 12, 2024",62° to 63°,no
"On Dec 12, 2024",64° to 65°,no
"On Dec 12, 2024",66° to 67°,yes
"On Dec 12, 2024",68° to 69°,no
"On Dec 12, 2024",70° or above,no
"On Dec 13, 2024",64° or below,no
"On Dec 13, 2024",65° to 66°,no
"On Dec 13, 2024",67° to 68°,yes
"On Dec 13, 2024",69° to 70°,no
"On Dec 13, 2024",71° to 72°,no
"On Dec 13, 2024",73° or above,no
"On Dec 14, 2024",71° or below,no
"On Dec 14, 2024",72° to 73°,no
"On Dec 14, 2024",74° to 75°,no
"On Dec 14, 2024",76° to 77°,no
"On Dec 14, 2024",78° to 79°,no
"On Dec 14, 2024",80° or above,yes
"On Dec 15, 2024",72° or below,no
"On Dec 15, 2024",73° to 74°,no
"On Dec 15, 2024",75° to 76°,no
"On Dec 15, 2024",77° to 78°,no
"On Dec 15, 2024",79° to 80°,no
"On Dec 15, 2024",81° or above,yes
"On Dec 16, 2024",72° or below,no
"On Dec 16, 2024",73° to 74°,no
"On Dec 16, 2024",75° to 76°,no
"On Dec 16, 2024",77° to 78°,no
"On Dec 16, 2024",79° to 80°,no
"On Dec 16, 2024",81° or above,yes
"On Dec 17, 2024",73° or below,no
"On Dec 17, 2024",74° to 75°,no
"On Dec 17, 2024",76° to 77°,no
"On Dec 17, 2024",78° to 79°,no
"On Dec 17, 2024",80° to 81°,yes
"On Dec 17, 2024",82° or above,no
"On Dec 18, 2024",63° or below,no
"On Dec 18, 2024",64° to 65°,no
"On Dec 18, 2024",66° to 67°,no
"On Dec 18, 2024",68° to 69°,no
"On Dec 18, 2024",70° to 71°,yes
"On Dec 18, 2024",72° or above,no
"On Dec 19, 2024",61° or below,no
"On Dec 19, 2024",62° to 63°,no
"On Dec 19, 2024",64° to 65°,no
"On Dec 19, 2024",66° to 67°,no
"On Dec 19, 2024",68° to 69°,yes
"On Dec 19, 2024",70° or above,no
"On Dec 20, 2024",61° or below,no
"On Dec 20, 2024",62° to 63°,no
"On Dec 20, 2024",64° to 65°,no
"On Dec 20, 2024",66° to 67°,no
"On Dec 20, 2024",68° to 69°,yes
"On Dec 20, 2024",70° or above,no
"On Dec 21, 2024",58° or below,no
"On Dec 21, 2024",59° to 60°,no
"On Dec 21, 2024",61° to 62°,no
"On Dec 21, 2024",63° to 64°,yes
"On Dec 21, 2024",65° to 66°,no
"On Dec 21, 2024",67° or above,no
"On Dec 22, 2024",61° or below,no
"On Dec 22, 2024",62° to 63°,no
"On Dec 22, 2024",64° to 65°,no
"On Dec 22, 2024",66° to 67°,no
"On Dec 22, 2024",68° to 69°,no
"On Dec 22, 2024",70° or above,yes
"On Dec 23, 2024",70° or below,no
"On Dec 23, 2024",71° to 72°,no
"On Dec 23, 2024",73° to 74°,no
"On Dec 23, 2024",75° to 76°,no
"On Dec 23, 2024",77° to 78°,yes
"On Dec 23, 2024",79° or above,no
"On Dec 24, 2024",72° or below,no
"On Dec 24, 2024",73° to 74°,no
"On Dec 24, 2024",75° to 76°,no
"On Dec 24, 2024",77° to 78°,yes
"On Dec 24, 2024",79° to 80°,no
"On Dec 24, 2024",81° or above,no
"On Dec 25, 2024",63° or below,yes
"On Dec 25, 2024",64° to 65°,no
"On Dec 25, 2024",66° to 67°,no
"On Dec 25, 2024",68° to 69°,no
"On Dec 25, 2024",70° to 71°,no
"On Dec 25, 2024",72° or above,no
"On Dec 26, 2024",70° or below,no
"On Dec 26, 2024",71° to 72°,no
"On Dec 26, 2024",73° to 74°,no
"On Dec 26, 2024",75° to 76°,no
"On Dec 26, 2024",77° to 78°,no
"On Dec 26, 2024",79° or above,yes
"On Dec 27, 2024",72° or below,no
"On Dec 27, 2024",73° to 74°,no
"On Dec 27, 2024",75° to 76°,no
"On Dec 27, 2024",77° to 78°,no
"On Dec 27, 2024",79° to 80°,no
"On Dec 27, 2024",81° or above,yes
"On Dec 28, 2024",75° or below,no
"On Dec 28, 2024",76° to 77°,no
"On Dec 28, 2024",78° to 79°,no
"On Dec 28, 2024",80° to 81°,no
"On Dec 28, 2024",82° to 83°,yes
"On Dec 28, 2024",84° or above,no
"On Dec 29, 2024",69° or below,no
"On Dec 29, 2024",70° to 71°,no
"On Dec 29, 2024",72° to 73°,no
"On Dec 29, 2024",74° to 75°,no
"On Dec 29, 2024",76° to 77°,yes
"On Dec 29, 2024",78° or above,no
"On Dec 30, 2024",76° or below,no
"On Dec 30, 2024",77° to 78°,no
